,actual,predicted,difference
18163,-11.66710437655925,-10.167839786980467,1.4992645895787824
51589,-3.256013426559248,-0.7421140100227718,2.5138994165364763
27008,-13.285783018886368,-13.736328881249056,0.4505458623626879
31297,-21.79518206888638,-18.217636583601987,3.577545485284393
61701,-8.52380317655924,-7.278765388932825,1.2450377876264138
6672,-9.573081368886369,-10.758640865891111,1.1855594970047427
30278,-60.249280118886375,-61.31844162074018,1.0691615018538059
19415,-9.744958226559246,-8.800456063840679,0.9445021627185675
60924,1.2811677734407445,1.6375088277321599,0.3563410542914154
5146,-14.47094231888639,-14.662949644542575,0.19200732565618495
30764,-15.934858568886389,-15.586457596372366,0.3484009725140229
38287,-6.0201142188863805,-14.880623590071556,8.860509371185175
61667,-4.702509376559247,-4.741022201230003,0.03851282467075645
26932,-12.164694118886375,-14.077423560446219,1.9127294415598435
12899,-13.016486918886375,-13.081457442081003,0.06497052319462782
42131,-14.277790668886372,-15.599783181454315,1.3219925125679435
46190,-9.573701318886368,-10.634565632094457,1.0608643132080893
7683,-14.460265118886372,-13.026893162575032,1.4333719563113405
15744,-1.2325156265592463,-1.4500099184881379,0.21749429192889158
3026,-9.408688468886371,-11.243593285516479,1.8349048166301074
21964,-4.250170426559249,-4.530241499628983,0.2800710730697338
58729,0.2473544234407416,-0.33294665994838946,0.5803010833891311
23113,-12.733505476559245,-12.772060779104171,0.03855530254492656
51560,-6.410601026559247,-2.97430515786639,3.436295868692857
10915,-10.155633118886374,-14.642593051319283,4.486959932432908
10499,-18.81770866888637,-19.662897199779483,0.8451885308931111
62701,-9.515752526559252,-10.38844461276641,0.8726920862071577
40398,-15.269893968886382,-12.432229452218568,2.8376645166678145
29791,-11.63086751888638,-12.802249617301815,1.1713820984154353
23200,-20.77726382655925,-17.72356511541411,3.053698711145138
23961,-13.067123226559245,-12.662547651401026,0.4045755751582192
12724,-16.75570811888638,-16.41131505348567,0.344393065400709
4569,-11.092895168886376,-14.207565253626173,3.1146700847397977
52200,-42.468507118886365,-44.15187008365535,1.683362964768989
48398,-7.455311318886377,-5.115137224596018,2.340174094290359
17294,-16.413033176559253,-16.44221455276563,0.029181376206377507
8361,-13.788634218886376,-12.961701525883722,0.8269326930026537
